Date,Close,Open,High,Low,Volume,Change
2013-06-10,14234.0,14076.0,14705.0,13998.0,6000000.0,0.0226
2013-06-11,14076.0,14312.0,14312.0,13919.0,2800000.0,-0.0111
2013-06-12,13526.0,14076.0,14076.0,13526.0,4530000.0,-0.0391
2013-06-13,13683.0,13526.0,13762.0,13290.0,3300000.0,0.0116
2013-06-14,13526.0,13604.0,13840.0,13447.0,1690000.0,-0.0115
2013-06-17,13604.0,13683.0,13998.0,13526.0,3620000.0,0.0058
2013-06-18,13762.0,13604.0,13762.0,13447.0,1880000.0,0.0116
2013-06-19,13762.0,13762.0,13840.0,13683.0,1460000.0,0.0
2013-06-20,13683.0,13683.0,13762.0,13290.0,2670000.0,-0.005699999999999999
2013-06-21,13526.0,13447.0,13998.0,12739.0,7350000.0,-0.0115
2013-06-24,12818.0,13447.0,13447.0,12582.0,2029999.9999999998,-0.052300000000000006
2013-06-25,12189.0,12582.0,12818.0,11717.0,3410000.0,-0.049100000000000005
2013-06-26,12110.0,12268.0,12268.0,11796.0,1020000.0,-0.006500000000000001
2013-06-27,12425.0,12110.0,12425.0,12110.0,667200.0,0.026000000000000002
2013-06-28,12268.0,12503.0,12503.0,12189.0,777700.0,-0.0126
2013-07-01,12110.0,12268.0,12268.0,12032.0,441100.0,-0.0129
2013-07-02,12503.0,12189.0,12503.0,12189.0,860300.0,0.0325
2013-07-03,12503.0,12503.0,12582.0,12346.0,549000.0,0.0
2013-07-04,12582.0,12503.0,12582.0,12425.0,507200.0,0.0063
2013-07-05,12503.0,12503.0,12661.0,12425.0,652800.0,-0.0063
2013-07-08,12346.0,12425.0,12425.0,12268.0,463100.0,-0.0126
2013-07-09,12346.0,12268.0,12425.0,12268.0,353300.0,0.0
2013-07-10,12268.0,12346.0,12503.0,12268.0,283700.0,-0.0063
2013-07-11,12268.0,11088.0,12346.0,11088.0,207200.0,0.0
2013-07-12,12818.0,12582.0,12897.0,12346.0,960300.0,0.044800000000000006
2013-07-15,12739.0,12897.0,12897.0,12661.0,617600.0,-0.0062
